,date,label_id,team,category,channel,platform,salesmethod,type,target_department,margin,orders,bids,sessions,registrations,margin_admin,margin_fixed_fee,margin_commission,ub
150,2023-05-31,1,Products,Products,,,,Target,Commercial,17601.119407900384,2838.890227080707,,,,,,,
151,2023-06-01,1,Products,Products,,,,Target,Commercial,39608.152227217026,6388.411649551133,,,,,,,
152,2023-06-02,1,Products,Products,,,,Target,Commercial,18187.034900814448,2933.3927259378142,,,,,,,
153,2023-06-03,1,Products,Products,,,,Target,Commercial,20914.114142775466,3373.244216576688,,,,,,,
154,2023-06-04,1,Products,Products,,,,Target,Commercial,33690.483274513455,5433.948915244106,,,,,,,
155,2023-06-05,1,Products,Products,,,,Target,Commercial,24013.55707428129,3873.1543668195627,,,,,,,
156,2023-06-06,1,Products,Products,,,,Target,Commercial,33931.11799298534,5472.760966610538,,,,,,,
157,2023-06-07,1,Products,Products,,,,Target,Commercial,22419.998111042976,3616.1287275875766,,,,,,,
158,2023-06-08,1,Products,Products,,,,Target,Commercial,39608.152227217026,6388.411649551133,,,,,,,
159,2023-06-09,1,Products,Products,,,,Target,Commercial,18187.034900814448,2933.3927259378142,,,,,,,
160,2023-06-10,1,Products,Products,,,,Target,Commercial,20914.114142775466,3373.244216576688,,,,,,,
161,2023-06-11,1,Products,Products,,,,Target,Commercial,33690.483274513455,5433.948915244106,,,,,,,
162,2023-06-12,1,Products,Products,,,,Target,Commercial,24013.55707428129,3873.1543668195627,,,,,,,
163,2023-06-13,1,Products,Products,,,,Target,Commercial,33931.11799298534,5472.760966610538,,,,,,,
164,2023-06-14,1,Products,Products,,,,Target,Commercial,22419.998111042976,3616.1287275875766,,,,,,,
165,2023-06-15,1,Products,Products,,,,Target,Commercial,39608.152227217026,6388.411649551133,,,,,,,
166,2023-06-16,1,Products,Products,,,,Target,Commercial,18187.034900814448,2933.3927259378142,,,,,,,
167,2023-06-17,1,Products,Products,,,,Target,Commercial,20914.114142775466,3373.244216576688,,,,,,,
168,2023-06-18,1,Products,Products,,,,Target,Commercial,33690.483274513455,5433.948915244106,,,,,,,
169,2023-06-19,1,Products,Products,,,,Target,Commercial,24013.55707428129,3873.1543668195627,,,,,,,
170,2023-06-20,1,Products,Products,,,,Target,Commercial,33931.11799298534,5472.760966610538,,,,,,,
171,2023-06-21,1,Products,Products,,,,Target,Commercial,22419.998111042976,3616.1287275875766,,,,,,,
172,2023-06-22,1,Products,Products,,,,Target,Commercial,39608.152227217026,6388.411649551133,,,,,,,
173,2023-06-23,1,Products,Products,,,,Target,Commercial,18187.034900814448,2933.3927259378142,,,,,,,
174,2023-06-24,1,Products,Products,,,,Target,Commercial,20914.114142775466,3373.244216576688,,,,,,,
175,2023-06-25,1,Products,Products,,,,Target,Commercial,33690.483274513455,5433.948915244106,,,,,,,
176,2023-06-26,1,Products,Products,,,,Target,Commercial,24013.55707428129,3873.1543668195627,,,,,,,
177,2023-06-27,1,Products,Products,,,,Target,Commercial,33931.11799298534,5472.760966610538,,,,,,,
178,2023-06-28,1,Products,Products,,,,Target,Commercial,22419.998111042976,3616.1287275875766,,,,,,,
179,2023-06-29,1,Products,Products,,,,Target,Commercial,39608.152227217026,6388.411649551133,,,,,,,
180,2023-06-30,1,Products,Products,,,,Target,Commercial,18187.034900814448,2933.3927259378142,,,,,,,
181,2023-01-01,1,Promotional,Promotional,,,,Target,Commercial,-1171.5807487089237,,,,,,,,
182,2023-01-02,1,Promotional,Promotional,,,,Target,Commercial,-835.0673080885699,,,,,,,,
183,2023-01-03,1,Promotional,Promotional,,,,Target,Commercial,-1179.948779566051,,,,,,,,
184,2023-01-04,1,Promotional,Promotional,,,,Target,Commercial,-779.6515698205781,,,,,,,,
185,2023-01-05,1,Promotional,Promotional,,,,Target,Commercial,-1377.366666522241,,,,,,,,
186,2023-01-06,1,Promotional,Promotional,,,,Target,Commercial,-632.4510038124179,,,,,,,,
187,2023-01-07,1,Promotional,Promotional,,,,Target,Commercial,-727.2847143903323,,,,,,,,
188,2023-01-08,1,Promotional,Promotional,,,,Target,Commercial,-1171.5807487089237,,,,,,,,
189,2023-01-09,1,Promotional,Promotional,,,,Target,Commercial,-835.0673080885699,,,,,,,,
190,2023-01-10,1,Promotional,Promotional,,,,Target,Commercial,-1179.948779566051,,,,,,,,
191,2023-01-11,1,Promotional,Promotional,,,,Target,Commercial,-779.6515698205781,,,,,,,,
192,2023-01-12,1,Promotional,Promotional,,,,Target,Commercial,-1377.366666522241,,,,,,,,
193,2023-01-13,1,Promotional,Promotional,,,,Target,Commercial,-632.4510038124179,,,,,,,,
194,2023-01-14,1,Promotional,Promotional,,,,Target,Commercial,-727.2847143903323,,,,,,,,
195,2023-01-15,1,Promotional,Promotional,,,,Target,Commercial,-1171.5807487089237,,,,,,,,
196,2023-01-16,1,Promotional,Promotional,,,,Target,Commercial,-835.0673080885699,,,,,,,,
197,2023-01-17,1,Promotional,Promotional,,,,Target,Commercial,-1179.948779566051,,,,,,,,
198,2023-01-18,1,Promotional,Promotional,,,,Target,Commercial,-779.6515698205781,,,,,,,,
199,2023-01-19,1,Promotional,Promotional,,,,Target,Commercial,-1377.366666522241,,,,,,,,
200,2023-01-20,1,Promotional,Promotional,,,,Target,Commercial,-632.4510038124179,,,,,,,,
201,2023-01-21,1,Promotional,Promotional,,,,Target,Commercial,-727.2847143903323,,,,,,,,
202,2023-01-22,1,Promotional,Promotional,,,,Target,Commercial,-1171.5807487089237,,,,,,,,
203,2023-01-23,1,Promotional,Promotional,,,,Target,Commercial,-835.0673080885699,,,,,,,,
204,2023-01-24,1,Promotional,Promotional,,,,Target,Commercial,-1179.948779566051,,,,,,,,
205,2023-01-25,1,Promotional,Promotional,,,,Target,Commercial,-779.6515698205781,,,,,,,,
206,2023-01-26,1,Promotional,Promotional,,,,Target,Commercial,-1377.366666522241,,,,,,,,
207,2023-01-27,1,Promotional,Promotional,,,,Target,Commercial,-632.4510038124179,,,,,,,,
208,2023-01-28,1,Promotional,Promotional,,,,Target,Commercial,-727.2847143903323,,,,,,,,
209,2023-01-29,1,Promotional,Promotional,,,,Target,Commercial,-1171.5807487089237,,,,,,,,
210,2023-01-30,1,Promotional,Promotional,,,,Target,Commercial,-835.0673080885699,,,,,,,,
211,2023-01-31,1,Promotional,Promotional,,,,Target,Commercial,-1179.948779566051,,,,,,,,
212,2023-02-01,1,Promotional,Promotional,,,,Target,Commercial,-872.3080375838892,,,,,,,,
213,2023-02-02,1,Promotional,Promotional,,,,Target,Commercial,-1541.057647307729,,,,,,,,
214,2023-02-03,1,Promotional,Promotional,,,,Target,Commercial,-707.6136512243942,,,,,,,,
215,2023-02-04,1,Promotional,Promotional,,,,Target,Commercial,-813.7177253687682,,,,,,,,
216,2023-02-05,1,Promotional,Promotional,,,,Target,Commercial,-1310.815424911583,,,,,,,,
217,2023-02-06,1,Promotional,Promotional,,,,Target,Commercial,-934.3095723347764,,,,,,,,
218,2023-02-07,1,Promotional,Promotional,,,,Target,Commercial,-1320.1779412688597,,,,,,,,
219,2023-02-08,1,Promotional,Promotional,,,,Target,Commercial,-872.3080375838892,,,,,,,,
220,2023-02-09,1,Promotional,Promotional,,,,Target,Commercial,-1541.057647307729,,,,,,,,
221,2023-02-10,1,Promotional,Promotional,,,,Target,Commercial,-707.6136512243942,,,,,,,,
222,2023-02-11,1,Promotional,Promotional,,,,Target,Commercial,-813.7177253687682,,,,,,,,
223,2023-02-12,1,Promotional,Promotional,,,,Target,Commercial,-1310.815424911583,,,,,,,,
224,2023-02-13,1,Promotional,Promotional,,,,Target,Commercial,-934.3095723347764,,,,,,,,
225,2023-02-14,1,Promotional,Promotional,,,,Target,Commercial,-1320.1779412688597,,,,,,,,
226,2023-02-15,1,Promotional,Promotional,,,,Target,Commercial,-872.3080375838892,,,,,,,,
227,2023-02-16,1,Promotional,Promotional,,,,Target,Commercial,-1541.057647307729,,,,,,,,
228,2023-02-17,1,Promotional,Promotional,,,,Target,Commercial,-707.6136512243942,,,,,,,,
229,2023-02-18,1,Promotional,Promotional,,,,Target,Commercial,-813.7177253687682,,,,,,,,
230,2023-02-19,1,Promotional,Promotional,,,,Target,Commercial,-1310.815424911583,,,,,,,,
231,2023-02-20,1,Promotional,Promotional,,,,Target,Commercial,-934.3095723347764,,,,,,,,
232,2023-02-21,1,Promotional,Promotional,,,,Target,Commercial,-1320.1779412688597,,,,,,,,
233,2023-02-22,1,Promotional,Promotional,,,,Target,Commercial,-872.3080375838892,,,,,,,,
234,2023-02-23,1,Promotional,Promotional,,,,Target,Commercial,-1541.057647307729,,,,,,,,
235,2023-02-24,1,Promotional,Promotional,,,,Target,Commercial,-707.6136512243942,,,,,,,,
236,2023-02-25,1,Promotional,Promotional,,,,Target,Commercial,-813.7177253687682,,,,,,,,
237,2023-02-26,1,Promotional,Promotional,,,,Target,Commercial,-1310.815424911583,,,,,,,,
238,2023-02-27,1,Promotional,Promotional,,,,Target,Commercial,-934.3095723347764,,,,,,,,
239,2023-02-28,1,Promotional,Promotional,,,,Target,Commercial,-1320.1779412688597,,,,,,,,
240,2023-03-01,1,Promotional,Promotional,,,,Target,Commercial,-790.110728971745,,,,,,,,
241,2023-03-02,1,Promotional,Promotional,,,,Target,Commercial,-1395.8442759215027,,,,,,,,
242,2023-03-03,1,Promotional,Promotional,,,,Target,Commercial,-640.9354421952069,,,,,,,,
243,2023-03-04,1,Promotional,Promotional,,,,Target,Commercial,-737.0413632197176,,,,,,,,
244,2023-03-05,1,Promotional,Promotional,,,,Target,Commercial,-1187.2977048256253,,,,,,,,
245,2023-03-06,1,Promotional,Promotional,,,,Target,Commercial,-846.2698788462264,,,,,,,,
246,2023-03-07,1,Promotional,Promotional,,,,Target,Commercial,-1195.7779942478649,,,,,,,,
247,2023-03-08,1,Promotional,Promotional,,,,Target,Commercial,-790.110728971745,,,,,,,,
248,2023-03-09,1,Promotional,Promotional,,,,Target,Commercial,-1395.8442759215027,,,,,,,,
249,2023-03-10,1,Promotional,Promotional,,,,Target,Commercial,-640.9354421952069,,,,,,,,
250,2023-03-11,1,Promotional,Promotional,,,,Target,Commercial,-737.0413632197176,,,,,,,,
251,2023-03-12,1,Promotional,Promotional,,,,Target,Commercial,-1187.2977048256253,,,,,,,,
252,2023-03-13,1,Promotional,Promotional,,,,Target,Commercial,-846.2698788462264,,,,,,,,
253,2023-03-14,1,Promotional,Promotional,,,,Target,Commercial,-1195.7779942478649,,,,,,,,
254,2023-03-15,1,Promotional,Promotional,,,,Target,Commercial,-790.110728971745,,,,,,,,
255,2023-03-16,1,Promotional,Promotional,,,,Target,Commercial,-1395.8442759215027,,,,,,,,
256,2023-03-17,1,Promotional,Promotional,,,,Target,Commercial,-640.9354421952069,,,,,,,,
257,2023-03-18,1,Promotional,Promotional,,,,Target,Commercial,-737.0413632197176,,,,,,,,
258,2023-03-19,1,Promotional,Promotional,,,,Target,Commercial,-1187.2977048256253,,,,,,,,
259,2023-03-20,1,Promotional,Promotional,,,,Target,Commercial,-846.2698788462264,,,,,,,,
260,2023-03-21,1,Promotional,Promotional,,,,Target,Commercial,-1195.7779942478649,,,,,,,,
261,2023-03-22,1,Promotional,Promotional,,,,Target,Commercial,-790.110728971745,,,,,,,,
262,2023-03-23,1,Promotional,Promotional,,,,Target,Commercial,-1395.8442759215027,,,,,,,,
263,2023-03-24,1,Promotional,Promotional,,,,Target,Commercial,-640.9354421952069,,,,,,,,
264,2023-03-25,1,Promotional,Promotional,,,,Target,Commercial,-737.0413632197176,,,,,,,,
265,2023-03-26,1,Promotional,Promotional,,,,Target,Commercial,-1187.2977048256253,,,,,,,,
266,2023-03-27,1,Promotional,Promotional,,,,Target,Commercial,-846.2698788462264,,,,,,,,
267,2023-03-28,1,Promotional,Promotional,,,,Target,Commercial,-1195.7779942478649,,,,,,,,
268,2023-03-29,1,Promotional,Promotional,,,,Target,Commercial,-790.110728971745,,,,,,,,
269,2023-03-30,1,Promotional,Promotional,,,,Target,Commercial,-1395.8442759215027,,,,,,,,
